"","species","numberOfOccurrences"
"183","Clematis recta",1386
"184","Cochlearia bavarica",234
"185","Cochlearia officinalis",14
"186","Cochlearia pyrenaica",569
"187","Conium maculatum",1320
"188","Conringia orientalis",825
"189","Corallorrhiza trifida",1
"190","Cornus mas",5545
"191","Coronilla coronata",689
"192","Coronilla vaginalis",1230
"193","Corrigiola litoralis",48
"194","Corydalis intermedia",1330
"195","Corydalis solida",2032
"196","Corynephorus canescens",2087
"197","Cotoneaster integerrimus",1398
"198","Crepis alpestris",2034
"199","Crepis conyzifolia",3
"200","Crepis foetida",829
"201","Crepis praemorsa",1802
"202","Crepis tectorum",722
"203","Crepis terglouensis",305
"204","Cryptogramma crispa",118
"205","Cuscuta epilinum",208
"206","Cyclamen purpurascens",595
"207","Cynoglossum germanicum",162
"208","Cyperus flavescens",480
"209","Cyperus fuscus",2048
"210","Cypripedium calceolus",3470
"211","Cystopteris dickieana",3
"212","Cystopteris sudetica",24
"213","Cytisus nigricans",4840
"214","Dactylorhiza ochroleuca",22
"215","Dactylorhiza sambucina",512
"216","Danthonia alpina",33
"217","Daphne blagayana",2
"218","Daphne cneorum",1305
"219","Deschampsia setacea",4
"220","Dianthus gratianopolitanus",545
"221","Dictamnus albus",2551
"222","Digitalis grandiflora",3357
"223","Diphasiastrum alpinum",512
"224","Diphasiastrum complanatum",748
"225","Diphasiastrum issleri",176
"226","Diphasiastrum oellgaardii",22
"227","Diphasiastrum tristachyum",328
"228","Diphasiastrum zeilleri",358
"229","Dipsacus pilosus",713
"230","Doronicum columnae",104
"231","Doronicum glaciale",84
"232","Doronicum pardalianches",260
"233","Draba aizoides",995
"234","Draba dubia",47
"235","Draba fladnizensis",22
"236","Draba incana",3
"237","Draba sauteri",92
"238","Draba siliquosa",37
"239","Dracocephalum ruyschiana",30
"240","Drosera intermedia",1369
"241","Drosera longifolia",37
"242","Drosera obovata",331
"243","Drosera rotundifolia",7969
"244","Dryopteris ambroseae",150
"245","Dryopteris cristata",632
"246","Elatine alsinastrum",104
"247","Elatine hexandra",446
"248","Elatine triandra",212
"249","Eleocharis mamillata",1694
"250","Eleocharis ovata",991
"251","Eleocharis quinqueflora",1534
"252","Elymus oliveri",6
"253","Empetrum nigrum",129
"254","Epilobium collinum",711
"255","Epilobium lanceolatum",171
"256","Epilobium nutans",154
"257","Epilobium obscurum",2656
"258","Epipactis microphylla",227
"259","Epipactis muelleri",691
"260","Epipactis palustris",12319
"261","Epipactis purpurata",2731
"262","Epipogium aphyllum",311
"263","Equisetum meridionale",10
"264","Equisetum pratense",138
"265","Equisetum trachyodon",10
"266","Equisetum variegatum",1584
"267","Erica tetralix",402
"268","Erigeron atticus",33
"269","Erigeron neglectus",34
"270","Erigeron uniflorus",236
"271","Eriophorum gracile",379
"272","Eriophorum latifolium",10898
"273","Eriophorum scheuchzeri",193
"274","Erucastrum gallicum",1305
"275","Erucastrum nasturtiifolium",82
"276","Eryngium campestre",2761
"277","Erysimum crepidifolium",681
"278","Erysimum odoratum",1823
"279","Erysimum repandum",338
"280","Euphorbia angulata",267
"281","Euphorbia epithymoides",86
"282","Euphorbia esula",1791
"283","Euphorbia falcata",61
"284","Euphorbia lucida",115
"285","Euphorbia palustris",1261
"286","Euphorbia platyphyllos",2246
"287","Euphorbia salicifolia",56
"288","Euphorbia seguieriana",274
"289","Euphrasia frigida",37
"290","Euphrasia hirtella",23
"291","Euphrasia micrantha",306
"292","Fallopia dumetorum",2072
"293","Festuca airoides",5
"294","Festuca duvalii",47
"295","Festuca filiformis",327
"296","Festuca heteropachys",14
"297","Festuca laevigata",7
"298","Festuca norica",136
"299","Festuca puccinellii",116
"300","Festuca trichophylla",4
"301","Filago arvensis",2048
"302","Filago lutescens",531
"303","Filipendula vulgaris",5941
"304","Fritillaria meleagris",761
"305","Fumana procumbens",340
"306","Fumaria parviflora",117
"307","Fumaria schleicheri",499
"308","Gagea fragifera",2
"309","Gagea minima",302
"310","Gagea pomeranica",85
"311","Gagea pratensis",3401
"312","Gagea spathacea",142
"313","Gagea villosa",1997
"314","Galanthus nivalis",3994
"315","Galeopsis ladanum",568
"316","Galeopsis segetum",108
"317","Galium glaucum",2090
"318","Galium megalospermum",319
"319","Galium noricum",32
"320","Galium parisiense",58
"321","Galium sudeticum",6
"322","Galium tricornutum",542
"323","Galium truniacum",43
"324","Galium valdepilosum",415
"325","Genista pilosa",560
"326","Gentiana acaulis",474
"327","Gentiana cruciata",4616
"328","Gentiana orbicularis",48
"329","Gentiana pneumonanthe",4577
"330","Gentiana purpurea",92
"331","Gentiana utriculosa",1530
"332","Gentiana verna",9261
"333","Geranium lucidum",40
"334","Geranium rotundifolium",343
"335","Geum reptans",65
"336","Gladiolus palustris",1734
"337","Goodyera repens",1570
"338","Gratiola officinalis",220
"339","Groenlandia densa",1699
"340","Hammarbya paludosa",300
"341","Helianthemum apenninum",459
"342","Helianthemum canum",113
"343","Helichrysum arenarium",1066
"344","Heliotropium europaeum",26
"345","Helleborus foetidus",1318
"346","Heracleum austriacum",559
"347","Herminium monorchis",1062
"348","Hieracium arolae",8
"349","Hieracium bupleuroides",673
"350","Hieracium caespitosum",10
"351","Hieracium cottetii",25
"352","Hieracium dasytrichum",7
"353","Hieracium fallacinum",11
"354","Hieracium flagelliferum",37
"355","Hieracium floribundum",1
"356","Hieracium franconicum",89
"357","Hieracium glaucinum",1937
"358","Hieracium glomeratum",2
"359","Hieracium harzianum",33
"360","Hieracium jurassicum",115
"361","Hieracium leucophaeum",24
"362","Hieracium maculatum",2062
"363","Hieracium onosmoides",81
"364","Hieracium porrectum",41
"365","Hieracium prenanthoides",211
"366","Hieracium pseudodolichaetum",1
"367","Hieracium rohacsense",13
"368","Hieracium scorzonerifolium",228
"369","Hieracium serratum",1
"370","Hieracium stenoplecum",2
"371","Hieracium subglaberrimum",10
"372","Hieracium umbrosum",97
"373","Hieracium valoddae",21
"374","Himantoglossum hircinum",1075
"375","Hippuris vulgaris",2471
"376","Homogyne discolor",40
"377","Hordeum secalinum",190
"378","Horminum pyrenaicum",62
"379","Hornungia petraea",99
"380","Hottonia palustris",1421
"381","Huperzia selago",6272
"382","Hydrocharis morsus-ranae",1373
"383","Hydrocotyle vulgaris",772
"384","Hyoscyamus niger",1045
"385","Hypericum elodes",10
"386","Iberis amara",199
"387","Ilex aquifolium",1795
"388","Illecebrum verticillatum",22
"389","Inula britannica",9
"390","Iris sibirica",3830
"391","Iris variegata",90
"392","Isatis tinctoria",1387
"393","Jasione montana",6593
"394","Juncus atratus",38
"395","Juncus capitatus",431
"396","Juncus filiformis",14232
"397","Juncus jacquinii",134
"398","Juncus ranarius",138
"399","Juncus sphaerocarpus",108
"400","Juncus squarrosus",2411
"401","Juncus stygius",91
"402","Juncus subnodulosus",2586
"403","Juncus tenageia",105
"404","Juniperus sabina",230
"405","Jurinea cyanoides",170
"406","Kickxia elatine",1379
"407","Kickxia spuria",2202
"408","Koeleria macrantha",1916
"409","Lactuca perennis",913
"410","Lactuca quercina",121
"411","Lactuca saligna",40
"412","Lappula squarrosa",423
"413","Laser trilobum",29
"414","Lathyrus heterophyllus",180
"415","Lathyrus hirsutus",645
"416","Lathyrus nissolia",662
"417","Lathyrus palustris",1145
"418","Leersia oryzoides",1344
"419","Legousia hybrida",105
"420","Legousia speculum-veneris",3013
"421","Lemna trisulca",2432
"422","Leucanthemopsis alpina",157
"423","Leucanthemum adustum",910
"424","Leucojum vernum",6903
"425","Limosella aquatica",1186
"426","Linaria arvensis",291
"427","Lindernia procumbens",290
"428","Linnaea borealis",4
"429","Linum alpinum",24
"430","Linum flavum",51
"431","Linum leonii",6
"432","Linum perenne",548
"433","Linum tenuifolium",1391
"434","Linum viscosum",1223
"435","Liparis loeselii",741
"436","Littorella uniflora",196
"437","Lolium remotum",128
"438","Lolium temulentum",184
"439","Lomatogonium carinthiacum",15
"440","Lotus tenuis",111
"441","Lunaria rediviva",2523
"442","Luronium natans",9
"443","Luzula divulgata",74
"444","Luzula forsteri",2
"445","Luzula glabrata",403
"446","Luzula nivea",274
"447","Luzula sudetica",286
"448","Lycopodiella inundata",1291
"449","Lycopodium clavatum",5180
"450","Lysimachia punctata",5453
"451","Lysimachia thyrsiflora",3075
"452","Lythrum hyssopifolia",419
"453","Malaxis monophyllos",1064
"454","Malus sylvestris",1823
"455","Malva moschata",6031
"456","Malva pusilla",157
"457","Marrubium vulgare",229
"458","Marsilea quadrifolia",12
"459","Matteuccia struthiopteris",1196
"460","Medicago minima",1495
"461","Melica picta",931
"462","Melica transsilvanica",262
"463","Melittis melissophyllum",3233
"464","Mentha pulegium",72
"465","Mentha rotundifolia",57
"466","Menyanthes trifoliata",12778
"467","Mercurialis ovata",239
"468","Meum athamanticum",1646
"469","Mibora minima",101
"470","Misopates orontium",1057
"471","Moenchia erecta",64
"472","Moneses uniflora",1854
"473","Muscari botryoides",1408
"474","Muscari comosum",1145
"475","Muscari neglectum",690
"476","Myosotis decumbens",108
"477","Myosotis discolor",1891
"478","Myosotis laxa",661
"479","Myosotis ramosissima",3750
"480","Myosotis rehsteineri",24
"481","Myosotis sparsiflora",15
"482","Myosotis stricta",2696
"483","Myosurus minimus",2067
"484","Myricaria germanica",862
"485","Myriophyllum alterniflorum",158
"486","Myriophyllum verticillatum",1740
"487","Najas marina",576
"488","Najas minor",91
"489","Nasturtium microphyllum",555
"490","Nasturtium sterile",44
"491","Nepeta cataria",1154
"492","Nepeta nuda",52
"493","Nigella arvensis",740
"494","Nonea pulla",209
"495","Nuphar pumila",91
"496","Nymphaea alba",4335
"497","Nymphaea candida",409
"498","Nymphoides peltata",592
"499","Odontites luteus",895
"500","Odontites vernus",1301
"501","Oenanthe aquatica",2128
"502","Oenanthe fistulosa",848
"503","Oenanthe peucedanifolia",14
"504","Onobrychis arenaria",793
"505","Onobrychis montana",34
"506","Ophioglossum vulgatum",1451
"507","Ophrys araneola",43
"508","Ophrys insectifera",5045
"509","Ophrys sphegodes",656
"510","Orchis militaris",6666
"511","Orchis pallens",338
"512","Orchis purpurea",1699
"513","Oreochloa disticha",24
"514","Orlaya grandiflora",424
"515","Ornithogalum vulgare",52
"516","Ornithopus perpusillus",669
"517","Ornithopus sativus",161
"518","Orobanche alba",420
"519","Orobanche caryophyllacea",1096
"520","Orobanche coerulescens",154
"521","Orobanche elatior",77
"522","Orobanche flava",499
"523","Orobanche lucorum",217
"524","Orobanche lutea",1662
"525","Orobanche minor",299
"526","Orobanche picridis",18
"527","Orobanche reticulata",707
"528","Orobanche salviae",173
"529","Orobanche teucrii",347
"530","Oxyria digyna",101
"531","Oxytropis pilosa",55
"532","Parietaria officinalis",237
"533","Parnassia palustris",14857
"534","Pedicularis oederi",256
"535","Pedicularis recutita",312
"536","Pedicularis sceptrum-carolinum",398
"537","Pedicularis verticillata",400
"538","Petrocallis pyrenaica",164
"539","Petrorhagia saxifraga",1648
"540","Peucedanum officinale",801
"541","Phleum alpinum",1065
"542","Phleum paniculatum",511
"543","Phyteuma betonicifolium",202
"544","Phyteuma hemisphaericum",65
"545","Phyteuma nigrum",4050
"546","Phyteuma ovatum",114
"547","Pilularia globulifera",359
"548","Pinguicula alpina",4095
"549","Pinguicula vulgaris",8578
"550","Platanthera chlorantha",5234
"551","Poa badensis",78
"552","Poa chaixii",2141
"553","Poa glauca",63
"554","Poa remota",673
"555","Polemonium caeruleum",1391
"556","Polycnemum arvense",176
"557","Polycnemum majus",357
"558","Polycnemum verrucosum",3
"559","Polygala serpyllifolia",1158
"560","Polypodium interjectum",464
"561","Polystichum braunii",66
"562","Polystichum illyricum",3
"563","Polystichum setiferum",17
"564","Populus alba",4097
"565","Populus canescens",505
"566","Potamogeton acutifolius",356
"567","Potamogeton alpinus",1047
"568","Potamogeton angustifolius",170
"569","Potamogeton berchtoldii",1874
"570","Potamogeton coloratus",346
"571","Potamogeton compressus",139
"572","Potamogeton cooperi",9
"573","Potamogeton filiformis",1
"574","Potamogeton fluitans",22
"575","Potamogeton friesii",250
"576","Potamogeton gramineus",515
"577","Potamogeton lucens",1490
"578","Potamogeton nitens",107
"579","Potamogeton nodosus",645
"580","Potamogeton obtusifolius",824
"581","Potamogeton perfoliatus",1490
"582","Potamogeton polygonifolius",163
"583","Potamogeton praelongus",144
"584","Potamogeton rutilus",78
"585","Potamogeton salicifolius",41
"586","Potamogeton trichoides",531
"587","Potentilla alba",2317
"588","Potentilla anglica",484
"589","Potentilla clusiana",68
"590","Potentilla collina",2
"591","Potentilla crantzii",157
"592","Potentilla incana",11
"593","Potentilla inclinata",290
"594","Potentilla micrantha",40
"595","Potentilla neglecta",69
"596","Potentilla pusilla",500
"597","Potentilla supina",1042
"598","Potentilla thuringiaca",309
"599","Potentilla thyrsiflora",4
"600","Primula clusiana",34
"601","Primula farinosa",12874
"602","Primula minima",209
"603","Primula pubescens",10
"604","Primula vulgaris",544
"605","Prunella laciniata",356
"606","Prunus mahaleb",2679
"607","Pseudorchis albida",1317
"608","Puccinellia distans",8284
"609","Pulicaria vulgaris",526
"610","Pulmonaria angustifolia",522
"611","Pulmonaria collina",106
"612","Pulsatilla patens",195
"613","Pyrola chlorantha",1200
"614","Pyrola media",249
"615","Pyrola minor",2881
"616","Radiola linoides",354
"617","Ranunculus alnetorum",2
"618","Ranunculus ambranus",7
"619","Ranunculus aquatilis",770
"620","Ranunculus argoviensis",148
"621","Ranunculus arvensis",2244
"622","Ranunculus basitruncatus",33
"623","Ranunculus borchers-kolbiae",55
"624","Ranunculus cassubicifolius",154
"625","Ranunculus circinatus",2504
"626","Ranunculus constans",4
"627","Ranunculus dactylophyllus",44
"628","Ranunculus danubius",70
"629","Ranunculus doerrii",19
"630","Ranunculus fluitans",1672
"631","Ranunculus glacialis",20
"632","Ranunculus haasii",96
"633","Ranunculus hevellus",132
"634","Ranunculus hybridus",44
"635","Ranunculus indecorus",69
"636","Ranunculus integerrimus",64
"637","Ranunculus kunzii",6
"638","Ranunculus leptomeris",91
"639","Ranunculus lingua",1579
"640","Ranunculus lucorum",128
"641","Ranunculus megacarpus",32
"642","Ranunculus multisectus",70
"643","Ranunculus parnassiifolius",3
"644","Ranunculus phragmiteti",137
"645","Ranunculus platanifolius",1460
"646","Ranunculus polyanthemos",16477
"647","Ranunculus pseudovertumnalis",22
"648","Ranunculus puberulus",89
"649","Ranunculus recticaulis",29
"650","Ranunculus reptans",131
"651","Ranunculus rhombilobus",6
"652","Ranunculus rostratulus",7
"653","Ranunculus rotundatus",45
"654","Ranunculus sardous",721
"655","Ranunculus transiens",36
"656","Ranunculus variabilis",5
"657","Ranunculus villarsii",47
"658","Ranunculus walo-kochii",69
"659","Reseda luteola",2428
"660","Rhodiola rosea",7
"661","Rhynchospora alba",3668
"662","Rhynchospora fusca",459
"663","Ribes nigrum",2542
"664","Ribes petraeum",9
"665","Ribes spicatum",167
"666","Rorippa anceps",207
"667","Rosa abietina",17
"668","Rosa agrestis",670
"669","Rosa caesia",604
"670","Rosa gallica",2978
"671","Rosa glauca",495
"672","Rosa inodora",793
"673","Rosa micrantha",1159
"674","Rosa pseudoscabriuscula",725
"675","Rosa sherardii",101
"676","Rosa subcollina",524
"677","Rosa tomentosa",1228
"678","Rosa villosa",150
"679","Rubus acanthodes",41
"680","Rubus adspersus",9
"681","Rubus amiantinus",34
"682","Rubus arduennensis",13
"683","Rubus bregutiensis",47
"684","Rubus camptostachys",54
"685","Rubus canescens",1028
"686","Rubus caninitergi",8
"687","Rubus chaerophyllus",174
"688","Rubus circipanicus",2
"689","Rubus condensatus",43
"690","Rubus conspicuus",14
"691","Rubus constrictus",367
"692","Rubus cuspidatus",53
"693","Rubus doerrii",27
"694","Rubus dollnensis",87
"695","Rubus eifeliensis",3
"696","Rubus fasciculatus",445
"697","Rubus geminatus",10
"698","Rubus geniculatus",6
"699","Rubus goniophorus",7
"700","Rubus gothicus",195
"701","Rubus guentheri",61
"702","Rubus hadracanthos",253
"703","Rubus hassicus",6
"704","Rubus hypomalacus",18
"705","Rubus koehleri",383
"706","Rubus langei",8
"707","Rubus leucophaeus",33
"708","Rubus limitis",25
"709","Rubus lividus",55
"710","Rubus lobatidens",8
"711","Rubus loehrii",3
"712","Rubus nemoralis",6
"713","Rubus nemorosus",28
"714","Rubus opacus",3
"715","Rubus oreades",20
"716","Rubus pallidus",32
"717","Rubus perrobustus",6
"718","Rubus phyllostachys",38
"719","Rubus placidus",16
"720","Rubus platycephalus",18
"721","Rubus praecox",267
"722","Rubus pruinosus",57
"723","Rubus pseudopsis",6
"724","Rubus sendtneri",82
"725","Rubus senticosus",55
"726","Rubus silvaticus",20
"727","Rubus stohrii",18
"728","Rubus sylvulicola",62
"729","Rubus thuringensis",6
"730","Rubus transvestitus",5
"731","Rubus vestitus",294
"732","Rubus villarsianus",17
"733","Rubus wahlbergii",35
"734","Rubus wessbergii",9
"735","Rumex aquaticus",3585
"736","Rumex heterophyllus",140
"737","Rumex longifolius",43
"738","Rumex maritimus",1816
"739","Rumex nivalis",112
"740","Rumex palustris",933
"741","Sagina apetala",199
"742","Sagina micropetala",589
"743","Sagina nodosa",911
"744","Sagina subulata",1
"745","Salix alpina",21
"746","Salix breviserrata",7
"747","Salix caesia",4
"748","Salix daphnoides",1791
"749","Salix hastata",304
"750","Salix herbacea",268
"751","Salix myrtilloides",384
"752","Salix pentandra",301
"753","Salix reticulata",384
"754","Salix rosmarinifolia",65
"755","Salix serpillifolia",289
"756","Salix starkeana",44
"757","Salvia nemorosa",474
"758","Samolus valerandi",87
"759","Saponaria ocymoides",221
"760","Saussurea discolor",29
"761","Saussurea pygmaea",67
"762","Saxifraga bryoides",14
"763","Saxifraga burseriana",138
"764","Saxifraga hirculus",109
"765","Saxifraga kochii",9
"766","Saxifraga mutata",444
"767","Scabiosa canescens",523
"768","Scheuchzeria palustris",1673
"769","Schoenoplectus tabernaemontani",918
"770","Schoenoplectus triqueter",63
"771","Schoenus ferrugineus",5848
"772","Schoenus nigricans",1303
"773","Scilla bifolia",3513
"774","Scirpus radicans",376
"775","Scleranthus perennis",2554
"776","Sclerochloa dura",168
"777","Scorzonera humilis",7796
"778","Scorzonera laciniata",307
"779","Scorzonera purpurea",209
"780","Scutellaria hastifolia",66
"781","Scutellaria minor",252
"782","Sedum alpestre",83
"783","Sedum annuum",32
"784","Sedum dasyphyllum",245
"785","Sedum villosum",350
"786","Senecio sarracenicus",1602
"787","Senecio subalpinus",8
"788","Seseli annuum",2379
"789","Sibbaldia procumbens",248
"790","Silene linicola",87
"791","Silene otites",1095
"792","Sisymbrium strictissimum",361
"793","Sium latifolium",577
"794","Soldanella austriaca",1
"795","Soldanella minima",158
"796","Sonchus palustris",430
"797","Sparganium angustifolium",34
"798","Sparganium natans",813
"799","Spergula morisonii",1101
"800","Spergula pentandra",49
"801","Spergularia segetalis",9
"802","Spiranthes aestivalis",277
"803","Spiranthes spiralis",1446
"804","Stachys annua",807
"805","Stachys arvensis",209
"806","Stachys germanica",1076
"807","Staphylea pinnata",796
"808","Stellaria crassifolia",13
"809","Stellaria longifolia",514
"810","Stellaria palustris",2379
"811","Stipa capillata",165
"812","Stipa pennata",430
"813","Stratiotes aloides",755
"814","Subularia aquatica",33
"815","Succisella inflexa",155
"816","Taraxacum adamii",53
"817","Taraxacum ancoriferum",40
"818","Taraxacum austrinum",484
"819","Taraxacum bavaricum",148
"820","Taraxacum brachyglossum",4
"821","Taraxacum copidophyllum",14
"822","Taraxacum dentatum",13
"823","Taraxacum frisicum",118
"824","Taraxacum gelertii",26
"825","Taraxacum germanicum",55
"826","Taraxacum hamatiforme",25
"827","Taraxacum heleocharis",57
"828","Taraxacum hercynicum",18
"829","Taraxacum hollandicum",94
"830","Taraxacum lacistophyllum",322
"831","Taraxacum madidum",158
"832","Taraxacum memorabile",59
"833","Taraxacum nordstedtii",324
"834","Taraxacum parnassicum",428
"835","Taraxacum paucilobum",8
"836","Taraxacum pauckertianum",85
"837","Taraxacum plumbeum",127
"838","Taraxacum podlechianum",8
"839","Taraxacum pollichii",23
"840","Taraxacum pulchrifolium",265
"841","Taraxacum reichlingii",24
"842","Taraxacum rutilum",12
"843","Taraxacum scanicum",142
"844","Taraxacum subalpinum",79
"845","Taraxacum tanyolobum",18
"846","Taraxacum tenebricans",28
"847","Taraxacum tortilobum",353
"848","Taraxacum trilobifolium",107
"849","Taraxacum turfosum",270
"850","Taraxacum vindobonense",2
"851","Taxus baccata",5760
"852","Teesdalia nudicaulis",1760
"853","Tephroseris crispa",1112
"854","Tephroseris tenuifolia",69
"855","Teucrium botrys",2931
"856","Teucrium scordium",772
"857","Thalictrum lucidum",526
"858","Thelypteris palustris",1796
"859","Thesium bavarum",2456
"860","Thesium linophyllon",1603
"861","Thesium rostratum",1506
"862","Thlaspi montanum",24
"863","Thymelaea passerina",447
"864","Thymus serpyllum",933
"865","Trapa natans",102
"866","Trichophorum alpinum",3672
"867","Trifolium alpestre",5154
"868","Trifolium ochroleucon",779
"869","Trifolium rubens",1426
"870","Trifolium spadiceum",1018
"871","Trifolium striatum",123
"872","Trollius europaeus",20396
"873","Turgenia latifolia",349
"874","Typha angustifolia",2244
"875","Typha minima",158
"876","Typha shuttleworthii",161
"877","Ulmus laevis",1539
"878","Ulmus minor",4096
"879","Utricularia australis",1561
"880","Utricularia bremii",26
"881","Utricularia intermedia",350
"882","Utricularia minor",1072
"883","Utricularia ochroleuca",91
"884","Utricularia vulgaris",637
"885","Vaccinium macrocarpon",36
"886","Vaccinium oxycoccos",6485
"887","Valeriana supina",85
"888","Valerianella carinata",524
"889","Valerianella rimosa",1121
"890","Ventenata dubia",36
"891","Verbascum blattaria",832
"892","Verbascum phlomoides",1005
"893","Verbascum phoeniceum",228
"894","Veronica agrestis",2373
"895","Veronica anagalloides",143
"896","Veronica catenata",962
"897","Veronica dillenii",586
"898","Veronica fruticulosa",90
"899","Veronica opaca",837
"900","Veronica praecox",763
"901","Veronica scutellata",3293
"902","Veronica verna",1231
"903","Vicia cassubica",1179
"904","Vicia dumetorum",1447
"905","Vicia lathyroides",1094
"906","Vicia oroboides",8
"907","Vicia orobus",91
"908","Vicia pisiformis",1622
"909","Viola collina",1763
"910","Viola elatior",617
"911","Viola pumila",301
